ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
3037.0,3.0,9.0,6176.0,259.0,211.0,7.0,0.0,1,A,1,"El tipo de vivienda es Casa improvisada y el material de piso no es Torta de cemento, Tierra u Otro",01A00103,
3014.0,1.0,29.0,3227.0,137.0,121.0,7.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3099.0,16.0,1.0,19350.0,223.0,173.0,10.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3037.0,3.0,1.0,5885.0,279.0,55.0,1.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3108.0,17.0,9.0,21817.0,10.0,7.0,1.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3093.0,5.0,2.0,7559.0,39.0,24.0,6.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3127.0,4.0,1.0,6433.0,16.0,14.0,1.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3126.0,5.0,13.0,8461.0,202.0,128.0,8.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3006.0,1.0,22.0,1733.0,77.0,55.0,5.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3116.0,19.0,1.0,23044.0,194.0,125.0,12.0,0.0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
3099.0,16.0,1.0,19350.0,223.0,173.0,10.0,0.0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
3044.0,1.0,29.0,3227.0,125.0,103.0,6.0,0.0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
3064.0,15.0,1.0,18892.0,32.0,22.0,1.0,0.0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
3053.0,16.0,17.0,20927.0,13.0,11.0,1.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3114.0,6.0,9.0,9071.0,141.0,106.0,5.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3036.0,20.0,5.0,23845.0,137.0,95.0,2.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3108.0,18.0,3.0,22567.0,44.0,31.0,4.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3108.0,18.0,3.0,22567.0,14.0,5.0,1.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3099.0,16.0,13.0,20769.0,13.0,5.0,1.0,0.0,1,A,1,Casa Improvisada y Es Pagada a Plazos o Alquilada,01A00112,
3090.0,19.0,4.0,23172.0,121.0,78.0,78.0,0.0,1,A,1,Casa Improvisada y Es Pagada a Plazos o Alquilada,01A00112,
3031.0,12.0,16.0,14853.0,101.0,78.0,4.0,0.0,1,A,5,No Tiene Distribución de Agua y Si Tiene Contador de Agua,01A00501,
3069.0,10.0,1.0,12249.0,170.0,106.0,8.0,0.0,1,A,5,No Tiene Distribución de Agua y Si Tiene Contador de Agua,01A00501,
3064.0,15.0,1.0,18892.0,17.0,9.0,1.0,0.0,1,A,5,No Tiene Distribución de Agua y Si Tiene Contador de Agua,01A00501,
3130.0,14.0,19.0,18573.0,65.0,46.0,2.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3027.0,2.0,7.0,5734.0,206.0,160.0,10.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3085.0,3.0,4.0,6023.0,143.0,112.0,7.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3090.0,19.0,9.0,23419.0,24.0,20.0,20.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3151.0,22.0,1.0,24835.0,13.0,11.0,1.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3117.0,11.0,6.0,13294.0,32.0,22.0,2.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
