FECHA,ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS,LEVEL-1-ID,P14A04,COINCIDENCIA
2023-09-28,3106.0,17.0,1.0,21212.0,151.0,92.0,9.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,,,,
2023-09-28,3140.0,18.0,2.0,22357.0,148.0,98.0,8.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,,,,
2023-09-28,3159.0,18.0,4.0,22623.0,138.0,103.0,8.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,,,,
2023-09-28,3157.0,22.0,1.0,24798.0,50.0,43.0,4.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,,,,
2023-09-28,3154.0,21.0,2.0,24506.0,14.0,12.0,1.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,,,,
2023-09-28,3025.0,20.0,9.0,24074.0,92.0,49.0,7.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,,,,
2023-09-28,3025.0,20.0,9.0,24074.0,67.0,34.0,5.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,,,,
2023-09-28,3016.0,6.0,2.0,8734.0,10.0,8.0,1.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,,,,
2023-09-28,3121.0,5.0,1.0,7303.0,162.0,37.0,8.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,,,,
2023-09-28,3117.0,11.0,7.0,13395.0,229.0,170.0,10.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,,,,
2023-09-28,3159.0,18.0,4.0,22623.0,138.0,103.0,8.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,,,,
2023-09-28,3101.0,6.0,2.0,8698.0,131.0,98.0,6.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,,,,
2023-09-28,3091.0,6.0,11.0,9160.0,36.0,29.0,2.0,0.0,1,D,17,"No tiene inodoro, y la pregunta (18) no es vacia",01D01702,,,,
2023-09-28,3029.0,2.0,7.0,5717.0,91.0,68.0,7.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,,,,
2023-09-28,3006.0,1.0,20.0,1579.0,116.0,102.0,7.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,,,,
2023-09-28,3160.0,19.0,3.0,23106.0,240.0,165.0,10.0,0.0,1,D,22,"Si la respuesta esta un rango de (3:7,98) la siguiente pregunta no es vacia",01D02201,,,,
2023-09-28,3036.0,20.0,7.0,24010.0,38.0,27.0,2.0,0.0,1,D,29,"Se indico ""No"" en la pregunta P01D28 y P01D29 no es vacia",01D02901,,,,
2023-09-28,3125.0,3.0,15.0,6342.0,64.0,47.0,4.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,,,,
2023-09-28,3125.0,3.0,15.0,6342.0,2.0,2.0,2.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,,,,
2023-09-29,3105.0,9.0,21.0,11995.0,138.0,95.0,5.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,,,,
2023-09-28,3125.0,3.0,15.0,6342.0,64.0,47.0,4.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,,,,
2023-09-28,3125.0,3.0,15.0,6342.0,2.0,2.0,2.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,,,,
2023-09-29,3105.0,9.0,21.0,11995.0,138.0,95.0,5.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,,,,
2023-09-28,3125.0,3.0,15.0,6342.0,64.0,47.0,4.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,,,,
2023-09-28,3125.0,3.0,15.0,6342.0,2.0,2.0,2.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,,,,
2023-09-29,3105.0,9.0,21.0,11995.0,138.0,95.0,5.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,,,,
