ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
3044.0,1.0,37.0,5025.0,127.0,137.0,7.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3056.0,1.0,18.0,1394.0,156.0,181.0,8.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3075.0,9.0,20.0,11811.0,50.0,46.0,3.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3044.0,1.0,37.0,5025.0,127.0,137.0,7.0,0.0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
3047.0,2.0,3.0,5603.0,53.0,38.0,4.0,0.0,1,A,1,"El tipo de vivienda es Rancho con paredes de Ladrillo, Block o Concreto",01A00108,
3028.0,2.0,3.0,5603.0,83.0,61.0,6.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3089.0,11.0,1.0,13038.0,94.0,92.0,1.0,0.0,1,A,1,Casa Improvisada y Es Pagada a Plazos o Alquilada,01A00112,
3123.0,5.0,2.0,7633.0,76.0,73.0,6.0,0.0,1,A,5,No Tiene Distribución de Agua y Si Tiene Contador de Agua,01A00501,
3067.0,17.0,5.0,21553.0,111.0,77.0,6.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3097.0,3.0,6.0,6100.0,157.0,106.0,7.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3025.0,20.0,3.0,23674.0,122.0,73.0,6.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3016.0,6.0,4.0,8811.0,71.0,50.0,1.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3119.0,1.0,18.0,1206.0,53.0,37.0,5.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3099.0,16.0,17.0,20793.0,78.0,48.0,5.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3140.0,17.0,8.0,21700.0,102.0,75.0,8.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3020.0,2.0,8.0,5821.0,46.0,40.0,4.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3000.0,12.0,1.0,13569.0,65.0,32.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3044.0,1.0,36.0,4914.0,101.0,112.0,6.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
