ENCUESTADOR;DEPTO;MUPIO;SECTOR;ESTRUCTURA;VIVIENDA;HOGAR;CP;CAPITULO;SECCION;PREGUNTA;DEFINICION DE INCONSISTENCIA;CODIGO ERROR;COMENTARIOS;;
3044.0;1.0;37.0;5025.0;127.0;137.0;7.0;0.0;1;A;1;Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles;01A00104;;;
3056.0;1.0;18.0;1394.0;156.0;181.0;8.0;0.0;1;A;1;Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles;01A00104;;;
3044.0;1.0;37.0;5025.0;127.0;137.0;7.0;0.0;1;A;1;Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a;01A00104;;;
3028.0;2.0;3.0;5603.0;37.0;26.0;3.0;0.0;1;A;1;El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar;01A00109;;;
3047.0;2.0;3.0;5603.0;121.0;95.0;9.0;0.0;1;A;1;El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar;01A00109;;;
3089.0;11.0;1.0;13038.0;94.0;92.0;1.0;0.0;1;A;1;Casa Improvisada y Es Pagada a Plazos o Alquilada;01A00112;;01A00104;3
3133.0;12.0;15.0;14759.0;112.0;63.0;6.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01A00109;2
3067.0;17.0;5.0;21553.0;111.0;77.0;6.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01A00112;1
3028.0;2.0;3.0;5603.0;37.0;26.0;3.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01A00502;4
3097.0;3.0;6.0;6100.0;157.0;106.0;7.0;0.0;1;A;5;No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad;01A00502;;01C00101;6
3159.0;18.0;3.0;22531.0;209.0;175.0;10.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D00602;3
3000.0;12.0;1.0;13569.0;65.0;32.0;3.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D00901;5
3066.0;15.0;4.0;19163.0;54.0;40.0;5.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D01201;1
3044.0;1.0;36.0;4914.0;101.0;112.0;6.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D01701;5
3019.0;10.0;2.0;12279.0;4.0;5.0;1.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D02002;3
3148.0;3.0;6.0;6100.0;82.0;54.0;4.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D02201;1
