ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPÍTULO,SECCIÓN,PREGUNTA,DEFINICIÓN DE INCONSISTENCIA,CÓDIGO ERROR,COMENTARIOS
3037.0,3.0,9.0,6176.0,259.0,211.0,7.0,0.0,1,A,1,"El tipo de vivienda es Casa improvisada y el material de piso no es Torta de cemento, Tierra u Otro",01A00103,
3108.0,17.0,9.0,21817.0,10.0,7.0,1.0,0.0,1,A,1,"Si vive en un cuarto en casa de vecindad, no debería preguntar cuantos cuartos tiene ese hogar, ya que no hay mas cuartos disponibles",01A00104,
3067.0,17.0,8.0,21745.0,82.0,48.0,3.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3053.0,16.0,13.0,20808.0,78.0,58.0,1.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3054.0,18.0,2.0,22487.0,43.0,31.0,3.0,0.0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3003.0,5.0,1.0,7542.0,36.0,25.0,2.0,0.0,1,A,5,No Tiene Distribución de Agua y Si Tiene Contador de Agua,01A00501,
3126.0,5.0,13.0,8475.0,136.0,111.0,9.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3023.0,4.0,7.0,6951.0,102.0,82.0,5.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3002.0,4.0,3.0,6593.0,116.0,88.0,8.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3095.0,12.0,7.0,14180.0,33.0,25.0,1.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3024.0,2.0,3.0,5577.0,93.0,68.0,5.0,0.0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3019.0,9.0,20.0,11835.0,42.0,32.0,2.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3116.0,19.0,7.0,23344.0,60.0,39.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3035.0,1.0,36.0,4723.0,18.0,32.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3024.0,2.0,3.0,5577.0,125.0,90.0,1.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3013.0,8.0,3.0,10361.0,41.0,30.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3034.0,19.0,4.0,23172.0,50.0,27.0,3.0,0.0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3014.0,3.0,6.0,6096.0,25.0,21.0,2.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3021.0,4.0,5.0,6795.0,168.0,131.0,4.0,0.0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3083.0,12.0,13.0,14585.0,71.0,49.0,4.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3067.0,17.0,8.0,21745.0,30.0,14.0,2.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3068.0,17.0,8.0,21745.0,117.0,69.0,10.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,4.0,15835.0,1.0,1.0,1.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,4.0,15835.0,16.0,7.0,7.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3068.0,17.0,8.0,21745.0,108.0,62.0,9.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,4.0,15835.0,50.0,26.0,10.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3052.0,13.0,4.0,15835.0,33.0,13.0,8.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3099.0,16.0,1.0,19350.0,149.0,118.0,7.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3065.0,19.0,4.0,23246.0,125.0,103.0,10.0,0.0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3001.0,4.0,7.0,6951.0,194.0,164.0,8.0,0.0,1,D,12,Si la distancia es mayor a 0 no debió haber respondido las preguntas 13 y 14,01D01201,
3008.0,5.0,13.0,8535.0,89.0,62.0,4.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3128.0,16.0,1.0,19549.0,61.0,46.0,1.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3003.0,5.0,1.0,7542.0,154.0,119.0,9.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3098.0,12.0,22.0,15173.0,37.0,30.0,3.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3029.0,1.0,26.0,2198.0,120.0,86.0,6.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3079.0,9.0,1.0,10952.0,98.0,59.0,1.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
