ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
3044.0,1.0,37.0,5025.0,127.0,137.0,7.0,0,1,A,1,"Si vive en un cuarto de vecindad no podría vivir en una casa propia y pagada, propia y pagándola a
plazos y otro, ¿cuál?",01A00105,
3028.0,2.0,3.0,5603.0,37.0,26.0,3.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3028.0,2.0,3.0,5603.0,83.0,61.0,6.0,0,1,A,1,"El tipo de vivienda es Casa Formal Con Techo de paja, palma o similar",01A00109,
3089.0,11.0,1.0,13038.0,94.0,92.0,1.0,0,1,A,1,Casa Improvisada y Es Pagada a Plazos o Alquilada,01A00112,
3123.0,5.0,2.0,7633.0,76.0,73.0,6.0,0,1,A,5,No Tiene Distribución de Agua y Si Tiene Contador de Agua,01A00501,
3133.0,12.0,15.0,14759.0,112.0,63.0,6.0,0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3067.0,17.0,5.0,21553.0,111.0,77.0,6.0,0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3097.0,3.0,6.0,6100.0,157.0,106.0,7.0,0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3140.0,17.0,8.0,21700.0,102.0,75.0,8.0,0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3025.0,20.0,3.0,23674.0,122.0,73.0,6.0,0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3016.0,6.0,4.0,8811.0,71.0,50.0,1.0,0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3119.0,1.0,18.0,1206.0,53.0,37.0,5.0,0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3099.0,16.0,17.0,20793.0,78.0,48.0,5.0,0,1,A,5,No Tiene Distribución de Energía Eléctrica y Tiene Contador de Electricidad,01A00502,
3000.0,12.0,1.0,13569.0,65.0,32.0,3.0,0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3066.0,15.0,4.0,19163.0,54.0,40.0,5.0,0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3044.0,1.0,36.0,4914.0,101.0,112.0,6.0,0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3019.0,10.0,2.0,12279.0,4.0,5.0,1.0,0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3148.0,3.0,6.0,6100.0,82.0,54.0,4.0,0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3102.0,1.0,29.0,3118.0,144.0,122.0,8.0,0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3159.0,18.0,3.0,22531.0,209.0,175.0,10.0,0,1,C,1,"Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron",01C00101,
3057.0,11.0,9.0,13539.0,26.0,20.0,2.0,0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3097.0,3.0,6.0,6100.0,137.0,89.0,6.0,0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3068.0,18.0,5.0,22865.0,14.0,11.0,1.0,0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3106.0,17.0,4.0,21350.0,72.0,52.0,5.0,0,1,D,6,"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12",01D00602,
3151.0,22.0,13.0,25540.0,70.0,55.0,3.0,0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3097.0,3.0,6.0,6100.0,137.0,89.0,6.0,0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3020.0,1.0,24.0,1968.0,128.0,102.0,7.0,0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3068.0,18.0,5.0,22865.0,14.0,11.0,1.0,0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3151.0,22.0,13.0,25540.0,17.0,17.0,1.0,0,1,D,9,"El servicio de agua es privada o de comité, debe pagar una cuota determinada",01D00901,
3081.0,8.0,6.0,10615.0,139.0,95.0,10.0,0,1,D,12,Si la distancia es mayor a 0 no debió haber respondido las preguntas 13 y 14,01D01201,
3086.0,1.0,36.0,4914.0,9.0,7.0,1.0,0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3068.0,18.0,5.0,22865.0,114.0,70.0,8.0,0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3050.0,3.0,14.0,6315.0,10.0,13.0,1.0,0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3073.0,8.0,6.0,10615.0,4.0,4.0,1.0,0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3015.0,14.0,13.0,18253.0,174.0,100.0,8.0,0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3033.0,13.0,26.0,17131.0,2.0,2.0,1.0,0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3059.0,7.0,19.0,9923.0,107.0,70.0,9.0,0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3059.0,7.0,19.0,9923.0,75.0,46.0,6.0,0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3141.0,22.0,5.0,25226.0,164.0,94.0,9.0,0,1,D,17,"No tiene inodoro, y la pregunta (18) no es vacia",01D01702,
3003.0,5.0,5.0,7877.0,72.0,50.0,4.0,0,1,D,20,Indico que el hogar si tiene plan residencial y no reporta cuanto pago,01D02001,
3029.0,1.0,24.0,2027.0,24.0,22.0,1.0,0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3152.0,19.0,1.0,23052.0,142.0,91.0,2.0,0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3018.0,18.0,1.0,22323.0,33.0,24.0,2.0,0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3091.0,22.0,15.0,25643.0,214.0,132.0,8.0,0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3103.0,6.0,4.0,8811.0,29.0,22.0,2.0,0,1,D,22,"Si la respuesta esta un rango de (3:7,98) la siguiente pregunta no es vacia",01D02201,
3032.0,1.0,29.0,2656.0,149.0,146.0,9.0,0,1,D,27,"Se indico ""00"" en la pregunta P01D25 y P01D27 no es vacio",01D02702,
3084.0,14.0,13.0,18253.0,11.0,9.0,1.0,0,1,D,29,"Se indico ""No"" en la pregunta P01D28 y P01D29 no es vacia",01D02901,
3159.0,18.0,1.0,22276.0,120.0,98.0,5.0,0,1,D,29,"Se indico ""No"" en la pregunta P01D28 y P01D29 no es vacia",01D02901,
3084.0,14.0,13.0,18253.0,11.0,9.0,1.0,0,1,D,30,"Se indico ""No"" en la pregunta P01D28 y P01D30 no es vacia",01D03001,
3159.0,18.0,1.0,22276.0,120.0,98.0,5.0,0,1,D,30,"Se indico ""No"" en la pregunta P01D28 y P01D30 no es vacia",01D03001,
3007.0,9.0,2.0,11057.0,210.0,90.0,9.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3074.0,12.0,12.0,14491.0,249.0,174.0,3.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3059.0,7.0,19.0,9923.0,107.0,70.0,9.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3026.0,18.0,1.0,22323.0,128.0,104.0,7.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3074.0,12.0,12.0,14491.0,222.0,154.0,4.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3057.0,11.0,9.0,13539.0,51.0,35.0,3.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3079.0,8.0,8.0,10720.0,121.0,63.0,8.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3094.0,17.0,11.0,22042.0,155.0,95.0,7.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3057.0,11.0,9.0,13539.0,206.0,140.0,10.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3106.0,17.0,4.0,21350.0,72.0,52.0,5.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3074.0,12.0,12.0,14491.0,249.0,174.0,3.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3057.0,11.0,9.0,13539.0,187.0,125.0,9.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3074.0,12.0,12.0,14491.0,222.0,154.0,4.0,0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3057.0,11.0,9.0,13539.0,51.0,35.0,3.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3007.0,9.0,2.0,11057.0,210.0,90.0,9.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3079.0,8.0,8.0,10720.0,121.0,63.0,8.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3094.0,17.0,11.0,22042.0,155.0,95.0,7.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3057.0,11.0,9.0,13539.0,206.0,140.0,10.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3106.0,17.0,4.0,21350.0,72.0,52.0,5.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3074.0,12.0,12.0,14491.0,249.0,174.0,3.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3057.0,11.0,9.0,13539.0,187.0,125.0,9.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3059.0,7.0,19.0,9923.0,107.0,70.0,9.0,0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
